Fecha_Revision,Week_Accionamiento,Usuario,Vertical,Atributo,KV,Publicaciones,Sellers,Resultado,Decision,Tipificacion_Errores,Comentarios
4/07/2025,2025 W26,ext_damercur,APPAREL & BEAUTY,Brand,Gregorina,5,1,APPROVED,Correcta,-,https://www.instagram.com/gregorinasf/ habria q editar
15/09/2025,2025 W37,ext_yaportas,ACC,Brand,Benggud,5,3,APPROVED,Correcta,-,-
18/08/2025,2025 W33,ext_damercur,CE,Brand,Cheflee,5,5,APPROVED,Correcta,-,-
14/07/2025,2025 W28,ext_hernflor,T & B,Brand,Dino State,5,5,APPROVED,Correcta,-,-
15/09/2025,2025 W37,ext_hernflor,ACC,Brand,Auxmart,5,5,APPROVED,Correcta,-,-
8/09/2025,2025 W36,ext_flmonten,ACC,Brand,Outlaw Racing,5,4,CURRENT,Correcta,-,-
25/08/2025,2025 W34,ext_maseinha,HOME & INDUSTRY,Brand,Metiec,5,1,CURRENT,Correcta,-,-
15/09/2025,2025 W37,ext_yaportas,HOME & INDUSTRY,Brand,Kuuguu,5,5,CURRENT,Correcta,-,-
18/08/2025,2025 W33,ext_hernflor,CPG,Brand,Cleanpets,5,5,APPROVED,Correcta,-,-
1/09/2025,2025 W35,ext_julieflo,HOME & INDUSTRY,Brand,Liberto O Similar,5,1,APPROVED,Correcta,-,-
8/09/2025,2025 W36,ext_hernflor,HOME & INDUSTRY,Brand,Artemate,5,2,APPROVED,Correcta,-,-
1/09/2025,2025 W35,ext_damercur,HOME & INDUSTRY,Brand,Awning Kit,5,3,CURRENT,Correcta,-,-
19/06/2025,2025 W24,ext_julieflo,HOME & INDUSTRY,Brand,Qifu,6,6,APPROVED,Correcta,-,https://www.amazon.com.br/Dinosaur-Baby-Shower-Decorations-Boys%EF%BC%8CDinosaur/dp/B0C2GQMNDY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6Z3VUrGj2G1RidlBgPT7lQ.wYiLYEFIU1MszYOZrMntfhF28FYlQWQq8IQUhP5oFQE&dib_tag=se&qid=1750359842&refinements=p_4%3AQIFU&s=hi&sr=1-1&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12
1/09/2025,2025 W35,ext_hernflor,HOME & INDUSTRY,Brand,Heyiarbeit,5,5,APPROVED,Correcta,-,-
4/08/2025,2025 W31,ext_maseinha,APPAREL & BEAUTY,Brand,Giorgio Beverly Hill,5,4,CURRENT,Correcta,-,-
4/07/2025,2025 W26,ext_esguadal,CE,Brand,Exofiz,5,4,APPROVED,Correcta,-,https://www.mancru.com.uy/catalogo/informatica/audio/auriculares/auricular-au-01-35mm-c-microfono-exofiz-inf013522/
4/07/2025,2025 W26,ext_aglugone,APPAREL & BEAUTY,Brand,Peter Grimm,5,5,APPROVED,Correcta,-,https://www.petergrimm.com/?srsltid=AfmBOoo_xNcA_ZQMkKuFYLAK7cATa43y3yzwPEgHjspLZHcSZpxrs9rJ
8/09/2025,2025 W36,ext_esguadal,HOME & INDUSTRY,Brand,Borrable,5,3,REJECTED,Correcta,-,-
28/07/2025,2025 W30,ext_yaportas,CE,Brand,Hub 4 Puertos,5,5,REJECTED,Correcta,-,-
4/07/2025,2025 W26,ext_esguadal,HOME & INDUSTRY,Brand,Fibrospega,5,1,REJECTED,Correcta,-,-
1/09/2025,2025 W35,ext_julieflo,HOME & INDUSTRY,Brand,Lamparas Simona,5,5,REJECTED,Correcta,-,-
14/07/2025,2025 W28,ext_damercur,ACC,Brand,Ultra Tools,5,5,APPROVED,Correcta,-,https://www.ultratools.co.in/
18/08/2025,2025 W33,ext_aglugone,CPG,Brand,Herbazest,5,4,APPROVED,Correcta,-,-
18/08/2025,2025 W33,ext_damercur,CE,Brand,Hair Ball,5,5,REJECTED,Correcta,-,-
