Usuario,IDs auditados,Total errores,Error LEVE,Error GRAVE,% error,% de efectividad,Week
ext_gutifran,199,1,0,1,"0,50%","0,9949748744",1
ext_jotrimar,161,20,11,9,"12,42%","0,8757763975",1
ext_namangas,159,60,15,45,"37,74%","0,6226415094",1
ext_fagaglia,144,20,4,16,"13,89%","86,11%",1
ext_canatura,143,33,15,18,"23,08%","0,7692307692",1
ext_mapeppe,120,15,12,3,"12,50%","0,875",1
ext_martga,107,23,10,13,"21,50%","0,785046729",1
ext_joavgust,99,17,0,17,"17,17%","0,8365384615",1
ext_joastori,94,11,3,8,"11,70%","0,8829787234",1
ext_masolvey,93,39,2,37,"41,94%","0,5806451613",1
ext_mibrizue,74,5,1,4,"6,76%","93,24%",1
ext_igpachec,68,29,17,12,"42,65%","0,5735294118",1
ext_ola,55,15,10,5,"27,27%","72,73%",1
ext_sancjoaq,34,0,0,0,"0,00%",1,1
ext_mibrizue,127,3,1,2,"2,36%","97,53%",2
ext_igjerez,122,1,0,1,"0,82%","0,9918032787",2
ext_jotrimar,115,5,3,2,"4,35%","0,9565217391",2
ext_fagaglia,100,3,2,1,"3,00%","97,00%",2
ext_masolvey,82,10,7,3,"12,20%","0,8780487805",2
ext_agnovare,64,2,2,0,"3,13%","0,96875",2
ext_lopmatia,58,7,0,7,"12,07%","0,8793103448",2
ext_matiam,53,3,2,1,"5,66%","94,34%",2
ext_ola,45,2,0,2,"4,44%","95,56%",2
ext_maabrigo,39,0,0,0,"0,00%",1,2
ext_aiolmedo,33,1,0,1,"3,03%","96,97%",2
ext_nadsosa,30,4,1,3,"13,33%","0,8666666667",2
ext_jodragon,25,0,0,0,"0,00%",1,2
ext_canatura,227,56,9,47,"24,67%","0,7533039648",3
ext_masolvey,162,38,20,18,"23,46%","0,81",3
ext_mibrizue,155,10,3,7,"6,45%","94,05%",3
ext_sancjoaq,140,40,37,3,"28,57%","0,7142857143",3
ext_igjerez,130,11,3,8,"8,46%","0,9097744361",3
ext_joavgust,129,4,0,4,"3,10%","0,9689922481",3
ext_fagaglia,120,2,1,1,"1,67%","98,45%",3
ext_agnovare,119,0,0,0,"0,00%",1,3
ext_lopmatia,100,5,5,0,"5,00%","0,95",3
ext_martga,64,13,3,10,"20,31%","0,816091954",3
ext_canatura,127,22,0,22,"17,32%","0,8267716535",4
ext_namangas,109,25,0,25,"22,94%","0,7706422018",4
ext_joavgust,96,0,0,0,"0,00%",1,4
ext_masolvey,92,18,17,1,"19,57%","0,8043478261",4
ext_martga,91,9,0,9,"9,89%","0,9010989011",4
