Week,Usuario,Tarea,Value ID,ES,ES OLD,EN,EN OLD,PT,PT OLD,Status,Items adoption,Prd adoption,Decisión 2do revisor,Valor correcto  1er Revisor,Valor correcto 2do Revisor,A unificar 1er Revisor,A unificar 2do Revisor
2025 W14,marmujica,3988533,46649966,Personalizad,-,Personalized,-,Personalizado,-,PROPOSED,8,1,UNIFY,false,false,true,true
2025 W14,marmujica,3988533,46978609,Personalizado,-,Personalized,-,Personalizado,-,PROPOSED,5,1,UNIFY,false,false,true,false
2025 W14,marmujica,3988533,2750846,Personalizado,-,Personalized,-,Personalizado,-,CURRENT,4606433,1569,UNIFY,true,true,true,true
2025 W14,marmujica,3988533,44983357,Personalizado,-,Personalized,-,Pesonalizado,-,PROPOSED,299,1,UNIFY,false,false,true,true
2025 W14,marmujica,3988518,17651850,Bureau Veritas Argentina S.A,-,Bureau Veritas Argentina S.A,-,Bureau Veritas Argentina S.A,-,CURRENT,3285,0,UNIFY,false,false,true,true
2025 W14,marmujica,3988518,11695662,Bureau Veritas Argentina S.A.,-,Bureau Veritas Argentina S.A.,-,Bureau Veritas Argentina S.A.,-,CURRENT,4933187,0,UNIFY,true,true,true,true
2025 W14,marmujica,3991361,4836479,Otoño-invierno,-,Autumn-winter,-,Outono-inverno,-,CURRENT,248140,143,UNIFY,false,false,true,true
2025 W14,marmujica,3988523,4836478,Primavera-verano,-,Spring-summer,-,Primavera-verão,-,CURRENT,111300,164,UNIFY,false,false,true,true
2025 W14,marmujica,3988521,34181633,Otoño/Invierno,-,Autumn/Winter,-,Todas as estações,-,PROPOSED,90,124,UNIFY,false,false,true,false
2025 W14,marmujica,4239558,14773710,Como descrito,-,As described,-,As described,-,PROPOSED,10420,75,UNIFY,false,false,true,true
2025 W14,marmujica,3991361,994284,Otoño/Invierno,-,Autumn/Winter,-,Outono/Inverno,-,CURRENT,34789025,85576,UNIFY,true,true,true,true
2025 W14,marmujica,4103600,27034064,as described,-,As Described,-,conforme descrito,-,CURRENT,204243,31,UNIFY,false,false,true,true
2025 W14,marmujica,4239558,24061012,As described,-,As described,-,As described,-,CURRENT,5272068,226,UNIFY,false,false,true,true
2025 W14,marmujica,4239558,27662806,Como se describió,-,As Described,-,as described,-,CURRENT,65747,10,UNIFY,false,false,true,true
2025 W14,marmujica,4103600,26869829,Como se describe,-,As described,-,Conforme descrito,-,PROPOSED,192,1,UNIFY,true,true,true,true
2025 W14,marmujica,4103600,27662806,Como se describió,-,As Described,-,as described,-,CURRENT,65747,10,UNIFY,false,false,true,true
2025 W14,marmujica,4103600,24061012,As described,-,As described,-,As described,-,CURRENT,5272068,226,UNIFY,false,false,true,true
2025 W14,marmujica,3991361,32227460,Otoño/Invierno,-,Autumn/Winter,-,Outono/Inverno,-,PROPOSED,4,10,UNIFY,false,false,false,false
