Fecha,flujo,tarea_detalle,Usuario,Tareas realizadas
2 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,29
2 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,29
2 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,41
2 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,31
2 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,29
3 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,29
3 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,27
3 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,33
3 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,29
3 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,30
6 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,20
6 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,27
6 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,23
6 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,18
7 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,36
7 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,30
7 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,35
7 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,37
8 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,37
8 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,30
8 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,32
8 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,35
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,22
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,32
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,23
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,24
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,24
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,26
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,18
20 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,27
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,989
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,57
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,1219
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,635
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,24
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,1003
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,53
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,995
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,53
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,882
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,54
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,58
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,937
21 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,542
21 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,39
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,40
22 ene 2025,KNOWN_VALUE_MERGE,KNOWN_VALUE_MERGE,ext_yaportas,26
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,50
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,53
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,54
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,31
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,57
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,54
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,51
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,56
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,53
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,49
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,41
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,53
22 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,37
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,43
22 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,44
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,41
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,57
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,54
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,54
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,62
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,55
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,43
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,60
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,42
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,38
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,24
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,57
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,34
23 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,55
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,37
23 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,44
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,34
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,42
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,62
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,60
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,48
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,27
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,30
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,49
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,56
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,62
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,32
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,35
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,37
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,55
24 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,33
24 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,52
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,47
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,63
27 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,32
27 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,53
